
 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	1.30e+06	0.00e+00	1.00e+00	1.00e+00	  0
   .1	4.47e+06	4.33e+03			3.44e+00
   .2	1.72e+06	1.08e+03			1.33e+00
   .3	1.22e+06	2.71e+02			9.36e-01
  2.0	1.22e+06	2.71e+02	1.00e+00	9.36e-01	  0
   .1	1.29e+06	2.03e+03			9.97e-01
   .2	1.13e+06	6.45e+02			8.70e-01
  3.0	1.13e+06	6.45e+02	1.00e+00	8.70e-01	  0
   .1	3.17e+06	5.80e+03			2.45e+00
   .2	1.63e+06	2.33e+03			1.25e+00
   .3	1.26e+06	1.27e+03			9.70e-01
   .4	1.17e+06	9.00e+02			8.98e-01
