
 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	1.16e+07	0.00e+00	1.00e-02	1.00e+00	  0
  2.0	1.60e+06	1.58e+01	1.00e-02	1.37e-01	  0
  3.0	2.80e+05	4.26e+01	1.00e-02	2.41e-02	  0
  4.0	1.53e+05	4.52e+01	1.00e-02	1.31e-02	  0

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	1.13e+05	0.00e+00	5.00e-03	1.00e+00	  0
  2.0	9.33e+04	2.29e-01	5.00e-03	8.29e-01	  0
  3.0	8.24e+04	4.57e-01	5.00e-03	7.32e-01	  0
  4.0	7.42e+04	1.03e+00	5.00e-03	6.59e-01	  0

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	6.84e+04	0.00e+00	2.50e-03	1.00e+00	  0
  2.0	6.39e+04	3.63e-02	2.50e-03	9.35e-01	  0
  3.0	6.03e+04	7.57e-02	2.50e-03	8.82e-01	  0
  4.0	5.72e+04	1.80e-01	2.50e-03	8.36e-01	  0

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	5.44e+04	0.00e+00	1.25e-03	1.00e+00	  0
  2.0	5.19e+04	1.01e-02	1.25e-03	9.55e-01	  0
  3.0	4.97e+04	2.19e-02	1.25e-03	9.14e-01	  0
  4.0	3.88e+04	7.73e-01	1.25e-03	7.12e-01	  0

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	3.37e+04	0.00e+00	6.25e-04	1.00e+00	  0
  2.0	3.17e+04	6.83e-03	6.25e-04	9.40e-01	  0
  3.0	3.04e+04	1.10e-02	6.25e-04	9.02e-01	  0
  4.0	2.96e+04	2.20e-02	6.25e-04	8.77e-01	  0

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	2.88e+04	0.00e+00	3.13e-04	1.00e+00	  0
  2.0	2.81e+04	7.93e-04	3.13e-04	9.76e-01	  0
  3.0	2.74e+04	1.76e-03	3.13e-04	9.52e-01	  0
  4.0	2.68e+04	4.40e-03	3.13e-04	9.30e-01	  0

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	2.61e+04	0.00e+00	1.56e-04	1.00e+00	  0
  2.0	2.55e+04	3.21e-04	1.56e-04	9.76e-01	  0
  3.0	2.49e+04	7.38e-04	1.56e-04	9.54e-01	  0
  4.0	2.44e+04	1.82e-03	1.56e-04	9.34e-01	  0

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	2.38e+04	0.00e+00	7.81e-05	1.00e+00	  0
  2.0	2.32e+04	1.26e-04	7.81e-05	9.77e-01	  0
  3.0	2.25e+04	6.82e-04	7.81e-05	9.48e-01	  0
  4.0	2.22e+04	7.25e-04	7.81e-05	9.34e-01	  0

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	2.00e+04	0.00e+00	3.91e-05	1.00e+00	  0
  2.0	1.85e+04	1.03e-05	3.91e-05	9.23e-01	  0
  3.0	1.75e+04	7.37e-04	3.91e-05	8.77e-01	  0
  4.0	1.70e+04	7.43e-04	3.91e-05	8.49e-01	  0

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	1.65e+04	0.00e+00	1.95e-05	1.00e+00	  0
  2.0	1.61e+04	1.24e-05	1.95e-05	9.75e-01	  0
  3.0	1.58e+04	6.29e-05	1.95e-05	9.59e-01	  0
