
 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	1.16e+07	0.00e+00	1.00e-02	1.00e+00	  0
  2.0	1.22e+06	1.65e+01	1.00e-02	1.04e-01	  0
  3.0	2.95e+05	4.21e+01	1.00e-02	2.54e-02	  0
  4.0	1.58e+05	4.45e+01	1.00e-02	1.36e-02	  0

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	1.17e+05	0.00e+00	5.00e-03	1.00e+00	  0
  2.0	9.64e+04	2.50e-01	5.00e-03	8.25e-01	  0
  3.0	8.46e+04	4.91e-01	5.00e-03	7.24e-01	  0
  4.0	7.65e+04	9.99e-01	5.00e-03	6.55e-01	  0

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	7.06e+04	0.00e+00	2.50e-03	1.00e+00	  0
  2.0	6.59e+04	3.46e-02	2.50e-03	9.33e-01	  0
  3.0	6.20e+04	7.64e-02	2.50e-03	8.78e-01	  0
  4.0	5.86e+04	1.85e-01	2.50e-03	8.30e-01	  0

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	5.11e+04	0.00e+00	1.25e-03	1.00e+00	  0
  2.0	4.62e+04	3.33e-03	1.25e-03	9.05e-01	  0
  3.0	4.32e+04	5.27e-02	1.25e-03	8.45e-01	  0
  4.0	4.06e+04	6.93e-02	1.25e-03	7.94e-01	  0

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	3.81e+04	0.00e+00	6.25e-04	1.00e+00	  0
  2.0	3.60e+04	1.11e-03	6.25e-04	9.44e-01	  0
  3.0	3.42e+04	1.51e-02	6.25e-04	8.96e-01	  0
  4.0	3.25e+04	2.04e-02	6.25e-04	8.53e-01	  0

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	3.11e+04	0.00e+00	3.13e-04	1.00e+00	  0
  2.0	2.98e+04	3.95e-04	3.13e-04	9.58e-01	  0
  3.0	2.86e+04	4.64e-03	3.13e-04	9.19e-01	  0
  4.0	2.75e+04	6.49e-03	3.13e-04	8.84e-01	  0

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	2.10e+04	0.00e+00	1.56e-04	1.00e+00	  0
  2.0	1.69e+04	2.13e-04	1.56e-04	8.05e-01	  0
  3.0	1.66e+04	9.03e-04	1.56e-04	7.87e-01	  0
  4.0	1.63e+04	1.06e-03	1.56e-04	7.72e-01	  0
