
 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	1.16e+07	0.00e+00	1.00e+00	1.00e+00	  0
  2.0	1.09e+06	1.68e+03	1.00e+00	9.36e-02	  0
  3.0	2.82e+05	3.90e+03	1.00e+00	2.46e-02	  0
  4.0	1.52e+05	4.17e+03	1.00e+00	1.34e-02	  0

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	1.14e+05	0.00e+00	5.00e-01	1.00e+00	  0
  2.0	9.49e+04	2.24e+01	5.00e-01	8.33e-01	  0
  3.0	8.28e+04	4.69e+01	5.00e-01	7.27e-01	  0
  4.0	7.48e+04	9.41e+01	5.00e-01	6.58e-01	  0

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	6.91e+04	0.00e+00	2.50e-01	1.00e+00	  0
  2.0	6.46e+04	2.98e+00	2.50e-01	9.35e-01	  0
  3.0	6.10e+04	6.31e+00	2.50e-01	8.84e-01	  0
  4.0	5.80e+04	1.53e+01	2.50e-01	8.39e-01	  0

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	5.53e+04	0.00e+00	1.25e-01	1.00e+00	  0
  2.0	5.29e+04	9.00e-01	1.25e-01	9.57e-01	  0
  3.0	5.07e+04	1.99e+00	1.25e-01	9.17e-01	  0
  4.0	4.87e+04	4.98e+00	1.25e-01	8.81e-01	  0

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	4.61e+04	0.00e+00	6.25e-02	1.00e+00	  0
  2.0	4.38e+04	2.97e-01	6.25e-02	9.50e-01	  0
  3.0	4.23e+04	6.42e-01	6.25e-02	9.19e-01	  0
  4.0	4.10e+04	1.61e+00	6.25e-02	8.90e-01	  0

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	3.97e+04	0.00e+00	3.13e-02	1.00e+00	  0
  2.0	3.85e+04	1.13e-01	3.13e-02	9.70e-01	  0
  3.0	3.65e+04	8.03e-01	3.13e-02	9.19e-01	  0
  4.0	3.48e+04	1.31e+00	3.13e-02	8.75e-01	  0

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	3.38e+04	0.00e+00	1.56e-02	1.00e+00	  0
  2.0	3.30e+04	3.54e-02	1.56e-02	9.74e-01	  0
  3.0	3.22e+04	8.89e-02	1.56e-02	9.50e-01	  0
  4.0	3.14e+04	2.14e-01	1.56e-02	9.26e-01	  0

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	3.06e+04	0.00e+00	7.81e-03	1.00e+00	  0
  2.0	2.99e+04	1.51e-02	7.81e-03	9.76e-01	  0
  3.0	2.92e+04	3.86e-02	7.81e-03	9.53e-01	  0
  4.0	2.85e+04	9.28e-02	7.81e-03	9.31e-01	  0

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	2.79e+04	0.00e+00	3.91e-03	1.00e+00	  0
  2.0	2.72e+04	6.47e-03	3.91e-03	9.78e-01	  0
  3.0	2.66e+04	1.62e-02	3.91e-03	9.57e-01	  0
  4.0	2.61e+04	3.92e-02	3.91e-03	9.36e-01	  0

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	2.55e+04	0.00e+00	1.95e-03	1.00e+00	  0
  2.0	2.50e+04	2.78e-03	1.95e-03	9.79e-01	  0
  3.0	2.45e+04	6.74e-03	1.95e-03	9.59e-01	  0
  4.0	2.40e+04	1.66e-02	1.95e-03	9.40e-01	  0

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	2.35e+04	0.00e+00	9.77e-04	1.00e+00	  0
  2.0	2.31e+04	1.20e-03	9.77e-04	9.81e-01	  0
  3.0	2.27e+04	2.89e-03	9.77e-04	9.63e-01	  0
  4.0	2.23e+04	7.13e-03	9.77e-04	9.46e-01	  0

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	2.19e+04	0.00e+00	4.88e-04	1.00e+00	  0
  2.0	2.15e+04	5.25e-04	4.88e-04	9.83e-01	  0
  3.0	2.11e+04	1.25e-03	4.88e-04	9.66e-01	  0
  4.0	2.08e+04	3.10e-03	4.88e-04	9.50e-01	  0

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	2.04e+04	0.00e+00	2.44e-04	1.00e+00	  0
  2.0	2.01e+04	2.31e-04	2.44e-04	9.84e-01	  0
  3.0	1.98e+04	5.46e-04	2.44e-04	9.68e-01	  0
