
 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	1.16e+07	0.00e+00	1.00e+00	1.00e+00	  0
   .1	1.10e+06	1.68e+03			9.48e-02
  2.0	1.10e+06	1.68e+03	1.00e+00	9.48e-02	  0
   .1	2.77e+05	3.94e+03			2.41e-02
  3.0	2.77e+05	3.94e+03	1.00e+00	2.41e-02	  0
   .1	1.52e+05	4.14e+03			1.34e-02
  4.0	1.52e+05	4.14e+03	1.00e+00	1.34e-02	  0
   .1	1.15e+05	4.85e+03			1.03e-02

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	1.15e+05	0.00e+00	5.00e-01	1.00e+00	  0
   .1	9.56e+04	2.15e+01			8.33e-01
  2.0	9.56e+04	2.15e+01	5.00e-01	8.33e-01	  0
   .1	8.42e+04	4.13e+01			7.34e-01
  3.0	8.42e+04	4.13e+01	5.00e-01	7.34e-01	  0
   .1	7.64e+04	8.59e+01			6.66e-01
  4.0	7.64e+04	8.59e+01	5.00e-01	6.66e-01	  0
   .1	7.06e+04	1.16e+02			6.16e-01

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	7.06e+04	0.00e+00	2.50e-01	1.00e+00	  0
   .1	6.61e+04	2.93e+00			9.36e-01
  2.0	6.61e+04	2.93e+00	2.50e-01	9.36e-01	  0
   .1	6.25e+04	6.25e+00			8.85e-01
  3.0	6.25e+04	6.25e+00	2.50e-01	8.85e-01	  0
   .1	5.93e+04	1.50e+01			8.40e-01
  4.0	5.93e+04	1.50e+01	2.50e-01	8.40e-01	  0
   .1	5.66e+04	2.16e+01			8.01e-01

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	5.66e+04	0.00e+00	1.25e-01	1.00e+00	  0
   .1	5.41e+04	8.84e-01			9.57e-01
  2.0	5.41e+04	8.84e-01	1.25e-01	9.57e-01	  0
   .1	5.19e+04	1.94e+00			9.17e-01
  3.0	5.19e+04	1.94e+00	1.25e-01	9.17e-01	  0
   .1	4.99e+04	4.83e+00			8.82e-01
  4.0	4.99e+04	4.83e+00	1.25e-01	8.82e-01	  0
   .1	4.80e+04	7.01e+00			8.49e-01

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	4.80e+04	0.00e+00	6.25e-02	1.00e+00	  0
   .1	4.63e+04	3.47e-01			9.64e-01
  2.0	4.63e+04	3.47e-01	6.25e-02	9.64e-01	  0
   .1	4.47e+04	7.22e-01			9.30e-01
  3.0	4.47e+04	7.22e-01	6.25e-02	9.30e-01	  0
   .1	4.24e+04	3.06e+00			8.84e-01
  4.0	4.24e+04	3.06e+00	6.25e-02	8.84e-01	  0
   .1	4.05e+04	4.04e+00			8.42e-01

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	4.05e+04	0.00e+00	3.13e-02	1.00e+00	  0
   .1	3.86e+04	3.43e-01			9.55e-01
  2.0	3.86e+04	3.43e-01	3.13e-02	9.55e-01	  0
   .1	3.70e+04	5.58e-01			9.14e-01
  3.0	3.70e+04	5.58e-01	3.13e-02	9.14e-01	  0
   .1	3.57e+04	1.31e+00			8.83e-01
  4.0	3.57e+04	1.31e+00	3.13e-02	8.83e-01	  0
   .1	3.46e+04	1.71e+00			8.54e-01

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	3.46e+04	0.00e+00	1.56e-02	1.00e+00	  0
   .1	2.90e+04	2.75e+00			8.40e-01
  2.0	2.90e+04	2.75e+00	1.56e-02	8.40e-01	  0
   .1	2.57e+04	3.00e+00			7.44e-01
  3.0	2.57e+04	3.00e+00	1.56e-02	7.44e-01	  0
   .1	2.12e+04	1.20e+01			6.15e-01
  4.0	2.12e+04	1.20e+01	1.56e-02	6.15e-01	  0
   .1	1.90e+04	1.22e+01			5.50e-01

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	1.90e+04	0.00e+00	7.81e-03	1.00e+00	  0
   .1	1.82e+04	1.15e-01			9.56e-01
  2.0	1.82e+04	1.15e-01	7.81e-03	9.56e-01	  0
